City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
0,2020-04-14 23:22:44,AO,Benguela,-12.58,13.41,76.96,83,1.88,40
1,2020-04-14 23:24:31,CL,Punta Arenas,-53.15,-70.92,50.0,81,6.93,75
2,2020-04-14 23:25:04,AU,Carnarvon,-24.87,113.63,71.6,73,17.22,45
3,2020-04-14 23:23:31,JP,Hasaki,35.73,140.83,52.0,43,2.24,20
4,2020-04-14 23:26:26,US,Nantucket,41.28,-70.1,48.2,81,8.05,1
5,2020-04-14 23:20:12,RE,Saint-Philippe,-21.36,55.77,75.2,83,12.75,2
6,2020-04-14 23:24:54,NZ,Mataura,-46.19,168.86,46.99,95,7.0,100
7,2020-04-14 23:20:23,US,Lompoc,34.64,-120.46,73.99,72,11.41,1
8,2020-04-14 23:24:47,RU,Nikolskoye,59.7,30.79,34.0,98,4.47,75
9,2020-04-14 23:24:45,PF,Rikitea,-23.12,-134.97,76.41,67,8.79,59
10,2020-04-14 23:25:29,RU,Khatanga,71.97,102.5,-2.36,90,4.23,85
11,2020-04-14 23:25:48,CL,Constitución,-35.33,-72.42,52.93,73,8.5,14
12,2020-04-14 23:32:33,ID,Manokwari,-0.87,134.08,84.7,66,1.99,88
13,2020-04-14 23:25:44,ID,Biak,-0.91,122.88,81.5,68,2.04,92
14,2020-04-14 23:22:28,RU,Ostrovnoy,68.05,39.51,35.56,90,15.43,94
15,2020-04-14 23:26:02,AE,Abu Dhabi,24.47,54.37,79.0,65,5.82,34
16,2020-04-14 23:26:01,AU,Yulara,-25.24,130.99,68.0,22,5.82,5
17,2020-04-14 23:25:07,CA,Yellowknife,62.46,-114.35,30.99,79,2.24,90
18,2020-04-14 23:24:50,US,Hilo,19.73,-155.09,82.4,65,11.41,40
19,2020-04-14 23:19:49,TO,Vaini,-21.2,-175.2,80.6,78,10.29,40
20,2020-04-14 23:32:33,RU,Blagoyevo,63.37,47.92,33.62,89,11.03,45
21,2020-04-14 23:32:34,SA,Sayhāt,26.49,50.04,75.2,60,6.93,48
22,2020-04-14 23:32:34,KZ,South Kazakhstan Region,43.0,68.0,44.89,51,4.54,29
23,2020-04-14 23:25:04,UZ,Yangi Marg`ilon,40.43,71.72,53.6,87,2.24,100
24,2020-04-14 23:24:50,NZ,Bluff,-46.6,168.33,46.99,95,7.0,100
25,2020-04-14 23:24:25,US,Bethel,41.37,-73.41,54.0,32,4.7,75
26,2020-04-14 23:25:53,VE,San Cristobal,7.77,-72.22,86.0,58,10.29,40
27,2020-04-14 23:30:59,AR,Morón,-34.65,-58.62,62.6,71,5.82,0
28,2020-04-14 23:25:38,ZA,Port Elizabeth,-33.92,25.57,60.8,100,3.36,75
29,2020-04-14 23:32:34,AU,Mildura,-34.2,142.15,69.01,45,9.17,96
30,2020-04-14 23:25:03,GL,Tasiilaq,65.61,-37.64,32.0,90,16.11,2
31,2020-04-14 23:32:34,IN,Sangamner,19.57,74.22,78.57,30,6.71,11
32,2020-04-14 23:32:34,CN,Weihe,33.0,105.32,51.58,54,1.16,32
33,2020-04-14 23:32:34,RU,Yar-Sale,66.83,70.83,30.87,99,8.34,100
34,2020-04-14 23:22:28,US,Broome,42.25,-75.83,46.99,28,4.7,90
35,2020-04-14 23:20:58,AU,New Norfolk,-42.78,147.06,59.0,87,1.12,75
36,2020-04-14 23:32:34,VC,Chateaubelair,13.28,-61.25,82.4,78,10.29,40
37,2020-04-14 23:32:34,RU,Ola,59.58,151.28,24.84,91,1.9,100
38,2020-04-14 23:23:46,US,Saint George,37.1,-113.58,63.0,12,5.82,1
39,2020-04-14 23:28:42,AU,Port Macquarie,-31.43,152.92,73.0,82,3.4,5
40,2020-04-14 23:32:34,IN,Mānsa,29.98,75.38,78.93,16,3.83,84
41,2020-04-14 23:32:34,JP,Gōtsuchō,35.0,132.22,51.8,50,6.93,100
42,2020-04-14 23:29:21,RO,Asău,46.43,26.4,36.0,80,6.93,100
43,2020-04-14 23:24:44,AU,Busselton,-33.65,115.33,59.0,67,15.93,46
44,2020-04-14 23:24:55,BR,Arraial do Cabo,-22.97,-42.03,75.2,88,16.11,20
45,2020-04-14 23:25:00,BR,Castro,-24.79,-50.01,57.65,67,3.65,17
46,2020-04-14 23:24:45,AU,Hobart,-42.88,147.33,59.0,87,2.24,75
47,2020-04-14 23:32:35,BR,Vilhena,-12.74,-60.15,71.6,94,4.7,100
48,2020-04-14 23:21:58,CL,Ancud,-41.87,-73.82,51.8,100,10.29,75
49,2020-04-14 23:25:26,US,Barrow,71.29,-156.79,12.2,85,11.41,90
50,2020-04-14 23:32:35,RU,Seredeyskiy,54.05,35.23,35.85,74,5.12,100
51,2020-04-14 23:22:35,PT,Vila Franca do Campo,37.72,-25.43,55.4,87,3.36,75
52,2020-04-14 23:32:35,RE,Saint-Pierre,-21.34,55.48,75.2,83,12.75,5
53,2020-04-14 23:32:35,CN,Suicheng,33.9,117.93,58.14,60,3.15,38
54,2020-04-14 23:22:32,IS,Husavik,66.04,-17.34,41.0,41,19.46,56
55,2020-04-14 23:20:29,RU,Tiksi,71.69,128.87,7.16,94,14.5,100
56,2020-04-14 23:24:53,IS,Grindavik,63.84,-22.43,39.2,64,18.34,75
57,2020-04-14 23:25:33,CN,Zhuhai,22.28,113.57,70.0,88,1.12,79
58,2020-04-14 23:24:51,CV,São Filipe,14.9,-24.5,72.72,75,15.01,65
59,2020-04-14 23:32:35,US,Fallon,39.47,-118.78,62.6,9,3.36,20
60,2020-04-14 23:21:56,GF,Cayenne,4.93,-52.33,78.8,78,1.12,40
61,2020-04-14 23:32:35,NO,Tromsø,69.65,18.96,33.8,59,13.87,75
62,2020-04-14 23:25:02,US,Saint Paul Harbor,57.79,-152.41,42.8,93,6.93,90
